Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-13 00:00:00-05:00,20.82072096878068,20.99251595079184,20.686637158352703,20.938045501708984,3205800,0.0,0.0
2010-01-14 00:00:00-05:00,20.929662680377646,21.02184429054645,20.707585095941393,20.90871238708496,3004000,0.0,0.0
2010-01-15 00:00:00-05:00,20.971569670548355,21.11822496518761,20.745302597725786,20.850055694580078,4555600,0.0,0.0
2010-01-19 00:00:00-05:00,20.862619809239305,21.147548260257366,20.707584129617377,20.946422576904297,3195800,0.0,0.0
2010-01-20 00:00:00-05:00,20.753687487429225,20.84168132244318,20.44780857083471,20.548372268676758,3143400,0.0,0.0
2010-01-21 00:00:00-05:00,22.01910131588554,22.53029695573668,21.910158795106923,22.429733276367188,17290600,0.0,0.0
2010-01-22 00:00:00-05:00,22.41296838541433,22.618283515064217,22.15737062946218,22.27888298034668,5699200,0.0,0.0
2010-01-25 00:00:00-05:00,22.46324941331154,22.555432629793973,22.186701362269304,22.27888298034668,4302400,0.0,0.0
2010-01-26 00:00:00-05:00,22.262131614229062,22.61410213139336,22.14480704290388,22.4381160736084,4617800,0.0,0.0
2010-01-27 00:00:00-05:00,22.3920196581155,22.521914063488968,22.102901708819402,22.47582244873047,3802800,0.0,0.0
2010-01-28 00:00:00-05:00,22.27888145456495,22.517719917131085,22.11965794406079,22.224411010742188,5303000,0.0,0.0
2010-01-29 00:00:00-05:00,22.320790052035438,22.337550931136295,21.834735746948507,22.00653076171875,5374800,0.0,0.0
2010-02-01 00:00:00-05:00,22.140614251476237,22.601527230704054,21.977199678811925,22.542865753173828,5915800,0.0,0.0
2010-02-02 00:00:00-05:00,22.433923007524104,23.586207042184988,22.425542568190654,23.464693069458008,7339800,0.0,0.0
2010-02-03 00:00:00-05:00,23.288709885676077,23.850184965433392,23.175576346224762,23.70353126525879,5416200,0.0,0.0
2010-02-04 00:00:00-05:00,23.494014753204226,23.623909115202682,23.221656174254317,23.397642135620117,5238000,0.0,0.0
2010-02-05 00:00:00-05:00,23.309660012686308,23.338990752503236,22.714661579816962,23.213287353515625,4525400,0.0,0.0
2010-02-08 00:00:00-05:00,23.217473511387038,23.875322752098946,23.20071263430267,23.326416015625,4760600,0.0,0.0
2010-02-09 00:00:00-05:00,23.514966894569028,23.724473018429705,23.280321058824192,23.569438934326172,5144200,0.0,0.0
2010-02-10 00:00:00-05:00,23.426975630740504,23.69095380477656,23.255180666330833,23.48982810974121,3846200,0.0,0.0
2010-02-11 00:00:00-05:00,23.494017949781746,23.86274919648505,23.313842545052005,23.829227447509766,3272600,0.0,0.0
2010-02-12 00:00:00-05:00,23.54429377526082,23.820841749613532,23.397640151893704,23.741230010986328,3844800,0.0,0.0
2010-02-16 00:00:00-05:00,23.858563395660827,24.49127295947769,23.858563395660827,24.453561782836914,3086200,0.0,0.0
2010-02-17 00:00:00-05:00,24.51641727235072,24.725923493301405,24.424235622048236,24.66307258605957,2646800,0.0,0.0
2010-02-18 00:00:00-05:00,24.621167418446806,24.99408978950003,24.57088637902603,24.935426712036133,3067600,0.0,0.0
2010-02-19 00:00:00-05:00,24.885147181683838,24.88933820095955,24.5918381701994,24.650501251220703,2963200,0.0,0.0
2010-02-22 00:00:00-05:00,24.654686382394416,24.8474316769976,24.64630594370664,24.75943946838379,2258400,0.0,0.0
2010-02-23 00:00:00-05:00,24.709160004789183,24.92704662930116,24.549934856414016,24.579265594482422,2486000,0.0,0.0
2010-02-24 00:00:00-05:00,24.679827529908245,25.170071201755892,24.679827529908245,25.144929885864258,4780200,0.0,0.0
2010-02-25 00:00:00-05:00,24.981509956550102,25.42985293723844,24.71753338927708,25.37957191467285,4276800,0.0,0.0
2010-02-26 00:00:00-05:00,25.450809183104326,25.450809183104326,25.14073936102014,25.19521141052246,2507800,0.0,0.0
2010-03-01 00:00:00-05:00,25.329292460134273,26.0751338015811,25.26225055976158,26.04580307006836,6075200,0.0,0.0
2010-03-02 00:00:00-05:00,26.029045203079622,26.062566956341964,25.7441166939704,25.857250213623047,5706000,0.0,0.0
2010-03-03 00:00:00-05:00,25.819534800361417,25.928478882168232,25.589078378946116,25.635169982910156,2958400,0.0,0.0
2010-03-04 00:00:00-05:00,25.70640316637922,25.81115623812226,25.559749505300978,25.593271255493164,3211200,0.0,0.0
2010-03-05 00:00:00-05:00,25.7399310537643,25.957817686749305,25.29577734824808,25.8363037109375,2567800,0.0,0.0
2010-03-08 00:00:00-05:00,25.978768707023846,26.125422407136803,25.681270287705882,26.121232986450195,2747200,0.0,0.0
2010-03-09 00:00:00-05:00,25.97876120168963,26.054183539502418,25.748304768774993,25.832107543945312,2561000,0.0,0.0
2010-03-10 00:00:00-05:00,25.760879835285213,26.003907772586683,25.69383792127193,25.92010498046875,2232000,0.0,0.0
2010-03-11 00:00:00-05:00,25.869818059042217,26.515095735214057,25.853057184750757,26.477384567260742,3195600,0.0,0.0
2010-03-12 00:00:00-05:00,26.548625997053612,26.64499865752559,26.37683097648957,26.61147689819336,2061000,0.0,0.0
2010-03-15 00:00:00-04:00,26.615669389195403,26.61985881014088,26.192465945452266,26.44387435913086,3338000,0.0,0.0
2010-03-16 00:00:00-04:00,26.43129498568895,26.611468792802782,26.343301193445946,26.582138061523438,2054000,0.0,0.0
2010-03-17 00:00:00-04:00,26.594711237740434,26.89640060574338,26.557000066740066,26.787456512451172,1851200,0.0,0.0
2010-03-18 00:00:00-04:00,26.81678540958399,26.934108334261328,26.565378685731126,26.732982635498047,1728800,0.0,0.0
2010-03-19 00:00:00-04:00,26.45224380493164,27.23579626531899,26.288829283084507,26.45224380493164,2724200,0.0,0.0
2010-03-22 00:00:00-04:00,26.334926066762048,27.26094299452957,25.974576781462805,27.21485137939453,2954400,0.0,0.0
2010-03-23 00:00:00-04:00,27.15618527888168,27.395022154435612,27.013722635868127,27.36150360107422,1868200,0.0,0.0
2010-03-24 00:00:00-04:00,27.29027451538603,27.340557150652874,26.682707857429133,26.68689727783203,3276000,0.0,0.0
2010-03-25 00:00:00-04:00,26.800028461006683,27.06400508020048,26.548621700325388,26.56119155883789,2484400,0.0,0.0
2010-03-26 00:00:00-04:00,26.59051889504692,26.83354678458868,26.477385387681444,26.78326416015625,3380800,0.0,0.0
2010-03-29 00:00:00-04:00,26.87963987205692,27.307031014444835,26.846118120588407,27.26932144165039,2496600,0.0,0.0
2010-03-30 00:00:00-04:00,27.327991437402428,27.55006751577363,27.16457684400433,27.445314407348633,2883200,0.0,0.0
2010-03-31 00:00:00-04:00,27.38245768887964,27.43693134283651,27.005345917223433,27.181333541870117,2460000,0.0,0.0
2010-04-01 00:00:00-04:00,27.302838339420667,27.545863002338802,27.265125576520347,27.478822708129883,1948200,0.0,0.0
2010-04-05 00:00:00-04:00,27.520731729661154,27.646436715458115,27.07238863564086,27.13105010986328,3065600,0.0,0.0
2010-04-06 00:00:00-04:00,26.98020249348971,27.101716447494855,26.326544310244326,26.515098571777344,5862400,0.0,0.0
2010-04-07 00:00:00-04:00,26.548615006833064,26.68688821082449,26.20502510793947,26.598896026611328,3241600,0.0,0.0
2010-04-08 00:00:00-04:00,26.506718801253335,26.963442296425097,26.196650577906727,26.83354949951172,2405600,0.0,0.0
2010-04-09 00:00:00-04:00,26.917349476508537,27.47463660728981,26.862879027915774,27.428544998168945,2697000,0.0,0.0
2010-04-12 00:00:00-04:00,27.44950061623824,27.742807989701326,27.38664812283598,27.621294021606445,2290800,0.0,0.0
2010-04-13 00:00:00-04:00,27.575200030398534,27.726044722843195,27.403406639831765,27.591960906982422,3906000,0.0,0.0
2010-04-14 00:00:00-04:00,27.60453334799896,27.985836133135248,27.596154507328226,27.952314376831055,2440600,0.0,0.0
2010-04-15 00:00:00-04:00,27.948126051683353,28.25819753216537,27.81823322949904,28.161823272705078,2045000,0.0,0.0
2010-04-16 00:00:00-04:00,28.015159002555187,28.538924309667255,28.010967984991563,28.446741104125977,3693400,0.0,0.0
